feature,n_obs,adf_stat,p_value,stationary,note
vol_scaled_return_126d,2575,-27.78211907602972,0.0,True,
vstoxx_chg,2571,-22.29263584878718,0.0,True,
gold_log_return,2577,-52.37566257149411,0.0,True,
bund_rets,1944,-17.544220637796634,4.174125097777865e-30,True,
cmci_20d,2577,-14.38929269889258,8.880304308665013e-27,True,
bollinger_pct_b_20d,2577,-13.988882603157384,4.050311850288174e-26,True,
target_log_return,2560,-12.414963009825886,4.2608251632804364e-23,True,
y_forward_1d,2559,-12.40882328549185,4.39031142043387e-23,True,
williams_r_14d,2562,-10.7145994233728,3.26582047466917e-19,True,
rsi_14d,2577,-10.4737971820758,1.264266301300316e-18,True,
stoch_k_14d,2549,-8.646310618733624,5.259233289221998e-14,True,
entropy_66d,2569,-7.605151895808181,2.3328662356867477e-11,True,
momentum_63d,2550,-6.097997792501569,9.992364571905605e-08,True,
vol_of_vol,2570,-4.700100032755163,8.411637358922106e-05,True,
skewness_126d,2566,-3.385163428832674,0.011475167940878689,True,
momentum_252d,2568,-3.1846521271371326,0.020890440648888543,True,
